"CU","alpha","beta0","sigma","deviance","stk"
"xx","1.68809900032655","0.148391324540461","0.945900586150545","112.553779438925","pooledLat"
"xx","1.45429551193638","0.189228201928275","0.822307608090933","111.029122878155","pooledLat"
"xx","1.53565697845948","0.183443676295602","0.74910318396478","110.713760896219","pooledLat"
"xx","1.45992436427218","0.254104812434286","0.809128342242968","113.050096905613","pooledLat"
"xx","1.87355603905702","0.162306048150743","0.865788838430311","115.697246260016","pooledLat"
"xx","1.55437556755046","0.240536621994228","0.67531509950536","114.874992600772","pooledLat"
"xx","1.47613483804295","0.189911452352313","0.821684584674715","110.662558800172","pooledLat"
"xx","1.44871926587205","0.173115178862348","0.797112981693899","111.052555486232","pooledLat"
"xx","1.78269984911033","0.306290701945068","0.868877269955811","112.226886550907","pooledLat"
"xx","1.72694596342056","0.241486178210572","0.923732263463721","111.569402186205","pooledLat"
"xx","1.56274219008362","0.149822086038715","0.836515781890841","110.052197500123","pooledLat"
"xx","1.79742300517916","0.211543707426419","0.873330564861455","112.043099784193","pooledLat"
"xx","1.55458003721637","0.239446641756165","0.754689308176546","111.386096660896","pooledLat"
"xx","1.50378606455324","0.147344767571647","0.630425182122553","117.965767451799","pooledLat"
"xx","1.46809803369662","0.158492761064503","0.757943657754427","111.244378801525","pooledLat"
"xx","1.63126357735685","0.270738572203621","0.764217112286038","111.445080567844","pooledLat"
"xx","1.69722180957165","0.29753528592291","0.92766214440081","112.411774204122","pooledLat"
"xx","1.77336669449402","0.239872699266962","0.892015194149407","111.580078215241","pooledLat"
"xx","1.78748615518997","0.262824829292145","0.720513483231622","113.61972563149","pooledLat"
"xx","1.75542114204033","0.181477326512891","0.673548310615213","116.465243136012","pooledLat"
"xx","1.42751919747344","0.153692768906409","0.921305860417748","112.010179263632","pooledLat"
"xx","1.73839407910426","0.165811747781835","0.71564099329412","114.086780450312","pooledLat"
"xx","1.70108004539111","0.186154894449229","0.950427125476608","112.123260380399","pooledLat"
"xx","1.48979579240213","0.169461839630368","0.825017785356509","110.294346641053","pooledLat"
"xx","1.44410568381089","0.20893856863717","1.0210165754874","114.788167065685","pooledLat"
"xx","1.67791753889356","0.254561209350381","0.807841120290269","110.392448824429","pooledLat"
"xx","1.37261357414965","0.17502316492883","0.81287698408868","112.730492098137","pooledLat"
"xx","1.74896001318574","0.274330739619294","0.791640258805879","111.346501305601","pooledLat"
"xx","1.60272545889893","0.213322541084705","0.827939682267485","109.800404262937","pooledLat"
"xx","1.40655174534965","0.170492653945192","0.904601911137967","112.209554537831","pooledLat"
"xx","1.2503944737599","0.226341722659792","0.800504404771353","120.12112498864","pooledLat"
"xx","1.54352784189648","0.280242165369529","0.9007276342024","112.604554467581","pooledLat"
"xx","1.17514886325778","0.13556619537152","0.816065774616533","119.399304057099","pooledLat"
"xx","1.57136409733927","0.133983394094275","0.925902801930661","111.469222100641","pooledLat"
"xx","1.60948485841836","0.141256076392501","0.833375467607482","110.413004708246","pooledLat"
"xx","1.57188199335663","0.209395325328064","0.738753891751783","110.931569041672","pooledLat"
"xx","1.60255031151635","0.192193956232889","0.901170043664407","110.486381897645","pooledLat"
"xx","2.00009747332711","0.299606818473267","0.947269885628676","117.300466347714","pooledLat"
"xx","1.72250277222377","0.238802337837784","0.70873471828097","112.800234180547","pooledLat"
"xx","1.62578428469633","0.243511951142581","0.808735325742678","110.185449173429","pooledLat"
"xx","1.51963794495063","0.184570702019354","0.915046703214768","111.021745859889","pooledLat"
"xx","1.86087640748396","0.267030485420974","0.899041946819358","113.214178384646","pooledLat"
"xx","1.74565779095409","0.245083637889147","0.850050082549827","110.824034019849","pooledLat"
"xx","1.53760987178576","0.151652139723612","0.81101939877164","110.03959337111","pooledLat"
"xx","1.64227745444059","0.131206749112638","0.79776317510484","111.206265477423","pooledLat"
"xx","1.42056553736745","0.153887699488825","0.809078272502627","111.333148922661","pooledLat"
"xx","1.53206047145419","0.157986870191127","0.767607996963967","110.415672374248","pooledLat"
"xx","1.62149831154519","0.192357178405858","0.838983580298776","109.795829250085","pooledLat"
"xx","1.5550131855691","0.147965143105618","0.830032048986096","110.05707531958","pooledLat"
"xx","1.5834120180118","0.270195044965601","0.765739189893011","111.882058321367","pooledLat"
"xx","1.8493291793383","0.291842567725345","0.771463937108448","113.667508124086","pooledLat"
"xx","1.51730504576427","0.169967434153706","0.761467612079742","110.579273188543","pooledLat"
"xx","1.45388925924569","0.140560493468869","0.902553033076605","111.375579322323","pooledLat"
"xx","1.41764915339298","0.131071022651435","0.972671523111345","113.246373823996","pooledLat"
"xx","1.66115745793321","0.132376595890234","0.879948675479697","111.545920264206","pooledLat"
"xx","1.52153689664675","0.189353179405745","0.790524740723396","110.213572541919","pooledLat"
"xx","1.75081353307612","0.300945088265284","0.864197481716795","111.827851636292","pooledLat"
"xx","1.57909565801207","0.209830769482613","0.950298845156963","111.619086774034","pooledLat"
"xx","1.55251389046751","0.171371692936859","0.909340748466649","110.73183454552","pooledLat"
"xx","1.58751934017483","0.234837343006043","0.99940414165148","113.167389639806","pooledLat"
"xx","1.69997262692374","0.162959205138998","0.859198082134583","111.088244986005","pooledLat"
"xx","1.46225550096844","0.136063641174149","0.817988521948534","110.695240960948","pooledLat"
"xx","1.52753103613124","0.143022343622077","0.769146999902997","110.589585178113","pooledLat"
"xx","1.46295840116406","0.198302399193957","0.827810111018352","111.025214323261","pooledLat"
"xx","1.58499574609229","0.168124422423727","0.86818634502974","110.1055443948","pooledLat"
"xx","1.61377041094234","0.319430699899324","0.756332842889726","114.325521756929","pooledLat"
"xx","1.75591404153952","0.190616014647773","0.708517534244283","114.070076612979","pooledLat"
"xx","1.63479879664788","0.172549432832987","0.846630491452089","110.070486286416","pooledLat"
"xx","1.46168333192901","0.151667596598939","0.663904682671109","115.673962998781","pooledLat"
"xx","1.77123474377869","0.174001882080319","0.756898016485017","113.23357883092","pooledLat"
"xx","1.7733034575041","0.22468548111728","0.881735672309209","111.517610856655","pooledLat"
"xx","1.50924217711644","0.168251793781255","0.788579619807719","110.259168273249","pooledLat"
"xx","1.57618424203968","0.249167554247261","0.853332881551833","110.703617637752","pooledLat"
"xx","1.4374156590073","0.145417048973421","0.807783748196063","111.027291247283","pooledLat"
"xx","1.51250509961885","0.19031939592497","0.762758558087546","110.722942144095","pooledLat"
"xx","1.6366386819585","0.207768548926726","0.704257046255516","112.069758486427","pooledLat"
"xx","1.47408999490505","0.20415095795465","0.868397798956763","111.119076375123","pooledLat"
"xx","1.87225245637105","0.246755776492314","0.824735395693986","113.422549107338","pooledLat"
"xx","1.7535140551112","0.176248372218341","0.921781754238012","112.467401697096","pooledLat"
"xx","1.57843445302632","0.144677050105532","0.824999068734691","110.14774626774","pooledLat"
"xx","1.7945143951928","0.25469691529781","0.826079606803724","111.549112416996","pooledLat"
"xx","1.85756548029453","0.179236821739149","0.791643508219585","115.171823195047","pooledLat"
"xx","1.58467253447163","0.199929766569252","0.887514458092349","110.293424541387","pooledLat"
"xx","1.80888213133783","0.257379091528819","0.709016871510365","114.627333602572","pooledLat"
"xx","1.41887123014377","0.189362367532528","0.766429646477571","112.500360528151","pooledLat"
"xx","1.53894262168027","0.304462361398314","0.769057439235985","114.559412519605","pooledLat"
"xx","1.64692262759193","0.217119668734584","0.807958945748871","109.863410014261","pooledLat"
"xx","1.72114037966465","0.22291716988253","0.86566102805707","110.631595915299","pooledLat"
"xx","1.46471017743838","0.178135216469727","0.780402150092873","111.018407720725","pooledLat"
"xx","1.57702802715035","0.295043303697995","0.991086462396469","114.456514602259","pooledLat"
"xx","1.91652456823995","0.191962046008512","0.824717383030059","116.440802002359","pooledLat"
"xx","1.66270516997259","0.146043016012108","0.802397976525236","110.973391300346","pooledLat"
"xx","1.46032469647996","0.174839831302813","0.858761473811009","110.845861690906","pooledLat"
"xx","1.63266042276715","0.143620554006673","0.922141062412401","111.565023138871","pooledLat"
"xx","1.85974371864301","0.336228929423119","0.811395284760136","114.19382017546","pooledLat"
"xx","1.68815503037664","0.272737374086482","0.927158551459439","111.817900083277","pooledLat"
"xx","1.72298989387475","0.240160955618011","0.786423297365356","110.70271351321","pooledLat"
"xx","1.89959288467824","0.210554463860235","0.836818707794806","114.976096270788","pooledLat"
"xx","1.50498340408723","0.267741703254742","0.878685950561462","112.550997769393","pooledLat"
"xx","1.68752789426454","0.349652840956156","0.81154523505159","114.134822639641","pooledLat"
"xx","1.70992712463984","0.167844660287473","0.776509749540099","111.464651715566","pooledLat"
"xx","1.55709857554993","0.155663263912702","0.922728583736194","111.084169510587","pooledLat"
"xx","1.55556907761043","0.245962404578588","0.795601105971476","110.908799884227","pooledLat"
"xx","1.71539577965786","0.182302645090031","0.884374118004003","111.163625970872","pooledLat"
"xx","1.89908215929374","0.311880403906527","0.762869948721143","115.518733846791","pooledLat"
"xx","1.5031355195283","0.171202459998743","0.743204460269885","111.156883653243","pooledLat"
"xx","1.56130998694083","0.268266685200424","0.784067607763034","111.796934680787","pooledLat"
"xx","1.53488351917847","0.282972105518018","0.687073773867804","116.912653421606","pooledLat"
"xx","1.71732884830117","0.186171268197863","0.826136525705087","110.758835684574","pooledLat"
"xx","1.44041840500069","0.212256935424669","0.761410779970955","112.706008321562","pooledLat"
"xx","1.36161112117371","0.198944918642501","0.828542792254978","113.590324265247","pooledLat"
"xx","1.67004746079465","0.288439678120628","1.00310389468201","113.988741697608","pooledLat"
"xx","1.54761303719321","0.140886875648792","0.99349245878365","112.99037665337","pooledLat"
"xx","1.53919316480967","0.144586947508142","0.793257024617668","110.231271714228","pooledLat"
"xx","1.53867068641923","0.143000794989307","0.799437439940591","110.210452258795","pooledLat"
"xx","1.63246322651773","0.232961123424732","0.842988409146106","110.03177908324","pooledLat"
"xx","1.85911172246138","0.275127569218701","0.889027862447265","113.088687524672","pooledLat"
"xx","1.49052074544283","0.238584278222392","0.923321488561778","112.405234746724","pooledLat"
"xx","1.46088407918031","0.162498380764677","0.776210313834035","111.021558160659","pooledLat"
"xx","1.51482196295313","0.266199737537538","0.880238918909669","112.31929612079","pooledLat"
"xx","1.76758388438305","0.221910100699618","0.729020647829801","112.871513168683","pooledLat"
"xx","1.7686232895719","0.233884541547551","0.753021595093617","112.045123593875","pooledLat"
"xx","1.43309983400602","0.243821241920388","0.854959213961304","113.106609891104","pooledLat"
"xx","1.36922833450645","0.147092575670541","0.968189342026863","113.869185497355","pooledLat"
"xx","1.66905900109201","0.226001291310261","0.880750082772573","110.403879822985","pooledLat"
"xx","1.71867672006825","0.256031242092173","0.878151171974372","110.900475884525","pooledLat"
"xx","1.7004860606586","0.25854863315311","0.863037299749364","110.674963073341","pooledLat"
"xx","1.75299409276182","0.224004363587639","0.687668326954314","114.487044123796","pooledLat"
"xx","1.52180303980764","0.268235097494262","0.792194090568187","112.420960481394","pooledLat"
"xx","1.73650287749354","0.196154749524471","0.725342423926132","112.697893898577","pooledLat"
"xx","1.5476617677734","0.167961861090274","0.892920091797576","110.476601076909","pooledLat"
"xx","1.55712608069513","0.263054359563796","0.713162386551665","113.725714316202","pooledLat"
"xx","1.68751313476689","0.144062615716495","0.974855412972219","113.321750714582","pooledLat"
"xx","1.60746905484715","0.148765353789959","0.766470706489186","110.699970726886","pooledLat"
"xx","1.66930311182483","0.351260954019935","0.930908009340935","114.64673882071","pooledLat"
"xx","1.81145405707572","0.158834538924756","0.851634152604818","113.782251274944","pooledLat"
"xx","1.48076635303079","0.220301055908253","0.802033306812355","111.332616014146","pooledLat"
"xx","1.50024967697461","0.287334531340033","0.86433921043768","113.462271591176","pooledLat"
"xx","1.58533197319776","0.143348201158023","0.787485397729183","110.385420300428","pooledLat"
"xx","1.60019016199183","0.20201107563112","0.743225871336832","110.627697172808","pooledLat"
"xx","1.59611289705395","0.232470595191946","0.818045528610166","110.076623225645","pooledLat"
"xx","1.77369798040342","0.258485772527546","0.935962743355556","112.362874606586","pooledLat"
"xx","1.7239948880643","0.232196901490813","0.731277957327295","111.905029969421","pooledLat"
"xx","1.6253794530464","0.285955081819813","0.934112284815028","112.450390512057","pooledLat"
"xx","1.58058981276157","0.195422035652092","0.779956111503935","109.958583602041","pooledLat"
"xx","1.62679943468874","0.153238983688263","0.861004955482674","110.440578779184","pooledLat"
"xx","1.59201260446439","0.236666983482547","0.842213991609546","110.227410578862","pooledLat"
"xx","1.79190851718766","0.189576590500483","0.834406260120067","112.239871290891","pooledLat"
"xx","1.44405420878412","0.150726794413577","1.05134622116511","115.209884911665","pooledLat"
"xx","1.5771337620414","0.245203183315641","0.816485075377798","110.512596710614","pooledLat"
"xx","1.66308461841378","0.239526578770849","0.805615653968644","110.124979007575","pooledLat"
"xx","1.64147236077379","0.138635157737367","0.706856407586369","113.348978651066","pooledLat"
"xx","1.95547668618277","0.220069163725833","0.815729182404182","117.216576878533","pooledLat"
"xx","1.58400328747151","0.16999699635474","0.794586120050998","109.89029300792","pooledLat"
"xx","1.40884154184534","0.213067166456428","0.828913368213111","112.654423501301","pooledLat"
"xx","1.64365803267411","0.167787293284555","0.923486247227706","111.253199691888","pooledLat"
"xx","1.7122443158562","0.161253375706503","0.943297479330231","112.537475244288","pooledLat"
"xx","1.65829734121214","0.240158142062443","0.702973588334605","112.543720869553","pooledLat"
"xx","1.59298956094282","0.228096803923914","1.00849900744334","113.329533558205","pooledLat"
"xx","1.51684570460584","0.19431145625544","0.818450251565275","110.171498774179","pooledLat"
"xx","1.56861963044798","0.208948528996239","0.874712148279426","110.241991586203","pooledLat"
"xx","1.40788813601891","0.144710516862429","0.839783081650033","111.457126695158","pooledLat"
"xx","1.81518578684834","0.271069646993374","0.864366742743873","112.057845771142","pooledLat"
"xx","1.70996754585438","0.206721760642","0.97011738054777","112.508146976692","pooledLat"
"xx","1.58889322715389","0.224762917589117","0.827250141298999","109.987555693312","pooledLat"
"xx","1.39356689621834","0.203277833227306","0.847979985932995","112.72608646709","pooledLat"
"xx","1.66423905416787","0.271020900085325","0.780364953154051","111.037890138194","pooledLat"
"xx","1.45133568525148","0.241218579669312","1.02072620603723","115.379934676752","pooledLat"
"xx","1.46334153036504","0.208085118776632","0.746398554591401","112.388813161987","pooledLat"
"xx","1.513589169904","0.173922803922089","0.833638822306666","110.083058712625","pooledLat"
"xx","1.6626667134812","0.160205281652564","0.82762310496639","110.50083811197","pooledLat"
"xx","1.603047653766","0.165129616895587","0.887230559594551","110.427505253967","pooledLat"
"xx","1.53807253614949","0.190694717717176","0.809380525477203","109.954590306082","pooledLat"
"xx","1.82729068901949","0.203357534786242","0.830044749292041","112.861295738188","pooledLat"
"xx","1.72077935513801","0.266417833918591","0.878487285413003","111.057503642163","pooledLat"
"xx","1.53836425916237","0.228859905751626","0.743790972059667","111.585492682814","pooledLat"
"xx","1.60119460639689","0.130165795422316","0.732596508757163","112.076185207822","pooledLat"
"xx","1.79060664892076","0.221127471602726","0.764623418122237","112.382377405653","pooledLat"
"xx","1.63948957106193","0.251648402189891","0.899189548514486","110.9357986598","pooledLat"
"xx","1.77370661052862","0.35206283634902","0.823275972752908","113.8903950312","pooledLat"
"xx","1.56729482829814","0.145239257828299","0.815481206667153","110.11199264799","pooledLat"
"xx","1.78922445243043","0.281540874060402","0.845196405810589","111.701493497063","pooledLat"
"xx","1.60999376827636","0.190965187241785","1.01293037752873","113.270446966127","pooledLat"
"xx","1.53687796702885","0.203239019717428","0.848551243917571","110.156860382891","pooledLat"
"xx","1.54711536268671","0.165718011890221","0.741274368083842","110.8647814972","pooledLat"
"xx","1.68863556145229","0.296486849068019","0.727278593139305","113.334889981933","pooledLat"
"xx","1.77051736539173","0.289934425381194","0.843868202512036","111.63315870967","pooledLat"
"xx","1.68781546615433","0.247995811705364","0.733392429464389","111.611538474172","pooledLat"
"xx","1.58579075499971","0.23711391511772","0.931900436304171","111.501519151413","pooledLat"
"xx","1.37602559652811","0.207796159579903","1.0960880335236","118.194665443124","pooledLat"
"xx","1.50958808407468","0.226976315943718","0.831971566423137","110.882920464358","pooledLat"
"xx","1.79959111271237","0.23585247138072","0.918834531157516","112.409297033786","pooledLat"
"xx","1.58375187546259","0.279972274873745","0.792541382504951","111.849934446219","pooledLat"
"xx","1.626179997598","0.189204657510599","0.983873976942242","112.452118501825","pooledLat"
"xx","1.68147661441056","0.16949509452222","0.928663609371499","111.678990592577","pooledLat"
"xx","1.62098734188019","0.209204858528417","0.807583389863297","109.771293522181","pooledLat"
"xx","1.81749331309735","0.26264387570089","0.834459956686757","111.986856156837","pooledLat"
"xx","1.70039601057191","0.242816508095172","0.895276298119987","110.88642744704","pooledLat"
"xx","1.55689452787944","0.237364129670077","0.830595410075553","110.510716684153","pooledLat"
"xx","1.51429420721679","0.181494699769883","0.931711237527051","111.384533742276","pooledLat"
"xx","1.46632025182328","0.136210835000683","0.85188884857976","110.715029826309","pooledLat"
"xx","1.58677572227007","0.235703338123937","0.809270037068999","110.222790621449","pooledLat"
"xx","1.84902090628217","0.215479646368216","0.872724855466319","113.21673539032","pooledLat"
"xx","1.48251085215524","0.134173976367058","0.813969009933631","110.535123978083","pooledLat"
"xx","1.48493211456776","0.133593639176164","0.933975299466961","111.756615502326","pooledLat"
"xx","1.44802012593769","0.183779813106042","1.05105673487153","115.319576790342","pooledLat"
"xx","1.70819615691733","0.223370342219744","0.787719107462556","110.472923070808","pooledLat"
"xx","1.44926461573045","0.150960756798712","0.931012466489416","111.915547074938","pooledLat"
"xx","1.71324725429949","0.15380600313521","0.725274304129832","113.470531145705","pooledLat"
"xx","1.35762158073908","0.131677176260018","0.970055073687623","114.049305178544","pooledLat"
"xx","1.45186884151086","0.158946365440694","0.75803712501142","111.511174721429","pooledLat"
"xx","1.59591087475301","0.136503274910985","0.853763951865667","110.52313510797","pooledLat"
"xx","1.64240223075057","0.308621492983502","0.856450765677603","112.198913576239","pooledLat"
"xx","1.76287508351768","0.245707157593879","0.679117780421368","115.197270157359","pooledLat"
"xx","1.59670735227148","0.151823316843478","0.979023816049876","112.537988043481","pooledLat"
"xx","1.62600298548232","0.19027206349615","0.903084279663257","110.569610153297","pooledLat"
"xx","1.66536903235837","0.238262836567976","0.804713227828175","110.119650499614","pooledLat"
"xx","1.67522577420465","0.241023860876951","0.746545324866979","111.053202351307","pooledLat"
"xx","1.65260649489786","0.129253636164837","0.793577588819106","111.484980912771","pooledLat"
"xx","1.70236478627455","0.192355263359178","0.824578988586682","110.433026438377","pooledLat"
"xx","1.58296356691686","0.129137006451126","0.844839284397991","110.573772930598","pooledLat"
"xx","1.77621280788617","0.348715005774052","1.11296434196059","118.892633343835","pooledLat"
"xx","1.60206745221759","0.146970103440652","0.75079571246625","111.034486338496","pooledLat"
"xx","1.39786774657721","0.145819620026958","0.753050492435002","112.721206563307","pooledLat"
"xx","1.55002861379142","0.173688110533838","0.756137452642808","110.453944098116","pooledLat"
"xx","1.68540341628683","0.187562514681361","0.863898639121778","110.47367208175","pooledLat"
"xx","1.54344789117161","0.193619315960253","0.83634940201571","109.948112609158","pooledLat"
"xx","1.68894414339391","0.224370971050624","0.780047623407308","110.367597317177","pooledLat"
"xx","1.69191790725911","0.234280521453709","0.971514478406692","112.398477516572","pooledLat"
"xx","1.61651972426311","0.208337565508498","0.73497187505263","110.88404328257","pooledLat"
"xx","1.61091177862184","0.32729938826385","0.801129756980751","113.857266486353","pooledLat"
"xx","1.66237938784229","0.134291923949607","0.879042529103348","111.494209410101","pooledLat"
"xx","1.43292136968786","0.157858711593056","0.84551326350848","111.08382677621","pooledLat"
"xx","1.5161055442068","0.153797908308248","0.796658218351536","110.190325239342","pooledLat"
"xx","1.53124268914839","0.245680642378585","0.731033108580454","112.715046664154","pooledLat"
"xx","1.48122476396137","0.162879498964983","0.893877596756182","110.928720819519","pooledLat"
"xx","1.58013941252243","0.243363301620099","0.874104463017424","110.711266283482","pooledLat"
"xx","1.74593881718986","0.245741699174819","0.819776035192815","110.782147171081","pooledLat"
"xx","1.50069332204881","0.146935035026518","0.831503720586872","110.259524297224","pooledLat"
"xx","1.409771506441","0.155703884547747","0.970954441388069","113.328670335272","pooledLat"
"xx","1.55242195174586","0.238179562075783","0.760413205802985","111.246692350392","pooledLat"
"xx","1.65900309803049","0.151292769149218","0.761393270048517","111.336641043779","pooledLat"
"xx","1.73891608680621","0.170702537489995","0.909487422008946","112.131402767069","pooledLat"
"xx","1.37487712876884","0.169871772230359","0.852832044832764","112.443743073232","pooledLat"
"xx","1.75284910622661","0.221795618042157","0.980261212193785","113.144223176951","pooledLat"
"xx","1.67267351804026","0.360886771729113","0.922293006176468","114.996413210916","pooledLat"
"xx","1.62000497044545","0.259151805427733","0.914208919946834","111.404874537817","pooledLat"
"xx","1.5844722694067","0.189443672537265","0.8262141444349","109.725035280175","pooledLat"
"xx","1.65984056272081","0.335517002782095","0.991735886625836","115.19956594507","pooledLat"
